X	Y	Type	Color
-0.0908566	0.0408081	red	#FF0000
0.00838044	0.0958623	green	#008000
0.028457	0.0191258	red	#FF0000
0.364231	2.68267	green	#008000
-0.0240176	-0.166019	red	#FF0000
0.148981	0.027473	red	#FF0000
-13.3317	-1.50309	red	#FF0000
-0.00466967	0.0193121	red	#FF0000
0.00648044	-0.0945843	blue	#3399FF
0.272065	0.229289	red	#FF0000
0.00148332	-0.0297562	red	#FF0000
4.26592	-5.85251	red	#FF0000
0.160603	-0.843015	red	#FF0000
-0.56504	-0.145288	green	#008000
3.38715	1.12621	red	#FF0000
-0.0564625	0.0916195	red	#FF0000
0.0833878	-0.0703044	green	#008000
-0.171391	-0.115836	red	#FF0000
0.130415	-0.174592	red	#FF0000
0.000132895	-0.102674	red	#FF0000
0.0844783	0.118503	green	#008000
-10.4137	-12.2262	red	#FF0000
-0.011022	-0.387618	red	#FF0000
-0.303519	-0.517504	red	#FF0000
-0.07015	-0.157252	red	#FF0000
-0.200817	0.3005	green	#008000
-0.670625	0.548565	red	#FF0000
-0.0216325	0.0313455	red	#FF0000
0.0561101	-0.0215707	green	#008000
-0.36494	0.299453	red	#FF0000
5.17409	-0.979804	red	#FF0000
-1.36852	5.34035	red	#FF0000
7.03633	-2.5162	red	#FF0000
0.0109748	0.0407566	red	#FF0000
0.25995	0.202635	red	#FF0000
0.0663539	0.0332575	red	#FF0000
-0.206885	-0.232765	red	#FF0000
0.209535	-0.2047	blue	#3399FF
-0.188783	-0.863679	red	#FF0000
0.199528	-0.351143	green	#008000
0.0218386	0.0141367	red	#FF0000
0.126869	-0.956433	red	#FF0000
0.071411	-0.334223	green	#008000
0.0155224	0.0637932	green	#008000
0.522365	-0.782475	red	#FF0000
0.0916549	0.0230899	green	#008000
-17.3502	0.424273	green	#008000
0.188721	0.269075	red	#FF0000
8.89275	-2.09755	red	#FF0000
-3.43363	-0.379794	green	#008000
-0.0297053	-0.306871	red	#FF0000
-0.0432109	0.0783194	red	#FF0000
0.0530316	0.121722	green	#008000
0.291508	0.501533	red	#FF0000
-0.353046	0.347754	red	#FF0000
-0.584004	-0.49593	red	#FF0000
0.00517238	-0.0788164	green	#008000
-4.10569	-4.25745	green	#008000
-0.142761	0.134394	red	#FF0000
-2.44778	2.79473	green	#008000
